,Unnamed: 0.1,Unnamed: 0,ÃÂ¯ÃÂ»ÃÂ¿Country code,Postal code,Pnr (3),Place name,Region,Admin code 1,Admin name 2,Admin code 2,Admin name 3,Latitude,Longitude,Accuracy,Population City 231231,distance_borÃ¥s (meters),duration_borÃ¥s (seconds),distance_Sponvika (meters),duration_Sponvika (seconds),distance_Ãrje (meters),duration_Ãrje (seconds),distance_Örebro (meters),duration_Örebro (seconds)
30,30,30,SE,10132,101,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
31,31,31,SE,10133,101,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
32,32,32,SE,10134,101,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
33,33,33,SE,10135,101,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
34,34,34,SE,10136,101,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
35,35,35,SE,10137,101,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
36,36,36,SE,10138,101,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
37,37,37,SE,10139,101,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
38,38,38,SE,10152,101,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
39,39,39,SE,10153,101,Stockholm,Stockholm county,AB,,,,"59,3326","18,0649",4.0,0,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
40,40,40,SE,10154,101,Stockholm,Stockholm county,AB,,,,"59,3326","18,0649",4.0,0,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
41,41,41,SE,10155,101,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
42,42,42,SE,10156,101,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
43,43,43,SE,10158,101,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
44,44,44,SE,10159,101,Stockholm,Stockholm county,AB,,,,"59,3326","18,0649",4.0,0,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
45,45,45,SE,10204,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
46,46,46,SE,10214,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
47,47,47,SE,10215,102,Stockholm,Stockholm county,AB,,,,"59,3326","18,0649",4.0,0,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
48,48,48,SE,10216,102,Stockholm,Stockholm county,AB,,,,"59,3326","18,0649",4.0,0,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
49,49,49,SE,10218,102,Stockholm,Stockholm county,AB,,,,"59,3326","18,0649",4.0,0,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
50,50,50,SE,10221,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
51,51,51,SE,10222,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
52,52,52,SE,10223,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
53,53,53,SE,10224,102,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
